groups,deciles,props
observed,1,0
observed,2,0
observed,3,0
observed,4,0.09
observed,5,0.22
observed,6,0.44
observed,7,0.75
observed,8,1.66
observed,9,2.67
observed,10,9.64
predicted,1,0
predicted,2,0
predicted,3,0
predicted,4,0
predicted,5,0.2
predicted,6,0.48
predicted,7,0.72
predicted,8,1.31
predicted,9,2.9
predicted,10,10.5
