groups,deciles,props
observed,1,0
observed,2,0
observed,3,0
observed,4,0
observed,5,0
observed,6,0.13
observed,7,0.18
observed,8,0.5
observed,9,0.8
observed,10,4.55
predicted,1,0
predicted,2,0
predicted,3,0
predicted,4,0
predicted,5,0.01
predicted,6,0.05
predicted,7,0.15
predicted,8,0.45
predicted,9,0.8
predicted,10,5.19
