groups,deciles,props
observed,1,0
observed,2,0
observed,3,0.16
observed,4,0.35
observed,5,0.74
observed,6,1.14
observed,7,1.89
observed,8,3.42
observed,9,5.79
observed,10,20.7
predicted,1,0
predicted,2,0.03
predicted,3,0.16
predicted,4,0.46
predicted,5,0.67
predicted,6,1.01
predicted,7,2.4
predicted,8,3.65
predicted,9,6.39
predicted,10,20.5
