groups,deciles,props
observed,1,0.21
observed,2,0.16
observed,3,0.43
observed,4,0.32
observed,5,0.91
observed,6,1.44
observed,7,2.53
observed,8,4.88
observed,9,8.95
observed,10,28.6
predicted,1,0
predicted,2,0.02
predicted,3,0.15
predicted,4,0.55
predicted,5,0.8
predicted,6,1.41
predicted,7,3.19
predicted,8,5.33
predicted,9,9.32
predicted,10,28
