groups,deciles,props
observed,1,0.21
observed,2,0.1
observed,3,0.53
observed,4,0.86
observed,5,1.93
observed,6,2.81
observed,7,5.17
observed,8,8.17
observed,9,15.1
observed,10,44.2
predicted,1,0
predicted,2,0.08
predicted,3,0.34
predicted,4,1.2
predicted,5,2.09
predicted,6,2.67
predicted,7,5.93
predicted,8,8.85
predicted,9,15
predicted,10,43.1
